Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,33.700001,34,32.799999,33.200001,33.200001,251737
2016-11-02,33.099998,33.299999,32.5,33,33,196353
2016-11-03,33,33.599998,32.799999,33.400002,33.400002,118054
2016-11-04,33.599998,34,33.400002,33.799999,33.799999,173632
2016-11-07,34.200001,34.400002,33.900002,34,34,181066
2016-11-08,33.599998,34.299999,33.599998,34,34,326331
2016-11-09,32.799999,34.799999,32.799999,34.799999,34.799999,395712
2016-11-10,35,35.5,34.099998,34.5,34.5,130961
2016-11-11,34.5,35.200001,33.799999,34,34,291822
2016-11-14,34.099998,34.599998,33.299999,33.299999,33.299999,194624
2016-11-15,33.799999,33.900002,33.099998,33.5,33.5,141982
2016-11-16,33.599998,33.599998,32.900002,33.599998,33.599998,127995
2016-11-17,33.5,33.599998,33.099998,33.5,33.5,145663
2016-11-18,33.299999,34.700001,33.299999,34.400002,34.400002,111113
2016-11-21,34.700001,35,34.200001,34.799999,34.799999,130666
2016-11-22,34.700001,35.200001,34.400002,35,35,246685
2016-11-23,35.200001,36.700001,35.200001,36.400002,36.400002,415912
2016-11-24,36.5,36.900002,36.099998,36.599998,36.599998,168558
2016-11-25,36.599998,36.900002,35.5,35.599998,35.599998,174484
2016-11-28,35,36.099998,34.599998,34.599998,34.599998,152089
2016-11-29,34.900002,35.400002,34.700001,35,35,113044
2016-11-30,35.299999,35.400002,34.299999,34.299999,34.299999,178684
2016-12-01,34.299999,34.5,33.400002,33.900002,33.900002,296428
2016-12-02,33.5,33.900002,32.700001,33.299999,33.299999,225266
2016-12-05,33,33.700001,33,33.5,33.5,265292
2016-12-06,33.700001,33.799999,33.400002,33.5,33.5,174463
2016-12-07,33.900002,34,33.299999,33.5,33.5,155781
2016-12-08,33.400002,33.799999,29.700001,32,32,1552163
2016-12-09,32.200001,32.5,31.200001,32.200001,32.200001,446197
2016-12-12,32.5,32.5,31.799999,32.400002,32.400002,212704
2016-12-13,32.5,32.5,31.799999,31.9,31.9,293916
2016-12-14,31.9,32.599998,31.6,32.599998,32.599998,302686
2016-12-15,32.5,33.549999,31.799999,32,32,510422
2016-12-16,32.5,32.900002,32.400002,32.599998,32.599998,256812
2016-12-19,33,34.400002,33,34.200001,34.200001,370969
2016-12-20,34.400002,34.5,33.299999,33.5,33.5,405154
2016-12-21,33.900002,33.900002,32.5,33,33,301811
2016-12-22,33,34,32.900002,34,34,200497
2016-12-23,34.400002,34.799999,33.900002,34.799999,34.799999,253423
2016-12-27,34.900002,35.400002,34.5,35,35,99164
2016-12-28,35.400002,35.400002,34.400002,35,35,139652
2016-12-29,34.900002,35.5,34.5,34.900002,34.900002,179856
2016-12-30,34.599998,35.400002,34.5,35.099998,35.099998,62757
2017-01-02,35.200001,35.599998,34.5,34.799999,34.799999,138598
2017-01-03,34.900002,35.299999,34.900002,35,35,186398
2017-01-04,35,35.200001,34.099998,34.799999,34.799999,157099
2017-01-05,34.599998,34.799999,33.700001,34.099998,34.099998,220179
2017-01-06,33.5,34.400002,33.5,34,34,98321
2017-01-09,34,35.099998,33.900002,35.099998,35.099998,249816
2017-01-10,35,35.700001,34.900002,35,35,109528
2017-01-11,34.5,37.200001,34.400002,37,37,364283
2017-01-12,37,37.299999,35.5,35.799999,35.799999,3287768
2017-01-13,35.5,37.099998,35.299999,36.700001,36.700001,218959
2017-01-16,36.299999,36.400002,35.5,35.5,35.5,146182
2017-01-17,35.5,35.700001,35.200001,35.5,35.5,105185
2017-01-18,35.5,36.599998,35.5,36,36,75165
2017-01-19,36,36.700001,35.5,36.299999,36.299999,131915
2017-01-20,37,37.299999,36.099998,37,37,402328
2017-01-23,37,37.299999,36,36,36,67442
2017-01-24,36.099998,36.900002,35.900002,36.099998,36.099998,94010
2017-01-25,36.400002,36.799999,35.5,35.5,35.5,133348
2017-01-26,36.200001,36.200001,35.099998,35.299999,35.299999,189965
2017-01-27,35.299999,35.5,34,35,35,256223
2017-01-30,34.799999,35.400002,34.400002,34.900002,34.900002,154106
2017-01-31,35,35.400002,34.700001,34.799999,34.799999,138655
2017-02-01,35.099998,36.099998,34.799999,35.700001,35.700001,232952
